Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz)
I3 High I/O Metal,i3.metal,i3,,Storage optimized,,488 GiB,,,,,,,,,,201 units,64 vCPUs,7.63 GiB/vCPU,0,,0 GiB,0,0,3.1406 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,,Yes,EBS only,,,x86_64,20 Gigabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,Yes,Yes,Yes,Yes,Unknown,No,,$4.992 hourly,$3.427 hourly,,,$6.778 hourly,$5.213 hourly,,,$5.092 hourly,$3.46 hourly,,,$7.936 hourly,$6.371 hourly,,,$5.491 hourly,,$9.063 hourly,$7.498 hourly,$15.616 hourly,$14.051 hourly,$31.936 hourly,$30.371 hourly,$6.074 hourly,$4.509 hourly,$12.672 hourly,$11.107 hourly,$28.992 hourly,$27.427 hourly,,,current,,,,,,,,,,
M5AD 24xlarge,m5ad.24xlarge,m5ad,"1,248,699.272",General purpose,97.0 fps,384 GiB,2667 MT/s,Yes,6,32,8,16,63448 MB,16.0 MB,Yes,0 units,96 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,,,,,3600 GB (4×900 GB NVMe SSD),Yes,Yes,x86_64,20 Gigabit,13750 Mbps,1718.75 MB/s,60000 IOPS,13750 Mbps,1718.75 MB/s,60000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.944 hourly,$3.115 hourly,$2.03 hourly,$2.2471 hourly,$7.325 hourly,$5.496 hourly,$3.067 hourly,$3.416 hourly,$5.069 hourly,$3.175 hourly,$2.155 hourly,$2.504 hourly,$9.36 hourly,$7.531 hourly,$5.1131 hourly,$5.2704 hourly,$5.069 hourly,$3.193 hourly,$10.982 hourly,$9.153 hourly,$20.88 hourly,$19.051 hourly,$45.36 hourly,$43.531 hourly,$6.566 hourly,$4.737 hourly,$16.464 hourly,$14.635 hourly,$40.944 hourly,$39.115 hourly,5-10%,$0.27 hourly,current,,,No,3.22x,,,,,,
I4G 16xlarge Extra Large,i4g.16xlarge,i4g,"1,271,186.441",Storage optimized,176.0 fps,512 GiB,,No,,,,,,,,0 units,64 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,15000 GB (4×3750 GB NVMe SSD),Yes,Yes,arm64,37.5 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.9421 hourly,$3.2071 hourly,$0.936 hourly,$1.1234 hourly,$6.5293 hourly,$4.7943 hourly,$1.6272 hourly,$2.1382 hourly,$5.0671 hourly,$3.267 hourly,$1.061 hourly,$1.572 hourly,,,,,$5.436 hourly,$3.528 hourly,,,,,,,,,,,,,<5%,$1.2355 hourly,current,,,No,5.85x,,,,,,
C7A 24xlarge,c7a.24xlarge,c7a,"2,865,386.529",Compute optimized,315.0 fps,192 GiB,5600 MT/s,No,,,,,,,,0 units,96 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,37.5 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.9267 hourly,$3.259 hourly,$1.5124 hourly,$1.9139 hourly,$7.3075 hourly,$5.6398 hourly,$2.5492 hourly,$3.1917 hourly,$5.0517 hourly,$3.3189 hourly,$1.6374 hourly,$2.2799 hourly,$9.3427 hourly,$7.675 hourly,$5.3156 hourly,$5.3189 hourly,$10.839 hourly,$7.17 hourly,$10.9651 hourly,$9.2974 hourly,$20.8627 hourly,$19.195 hourly,$45.3427 hourly,$43.675 hourly,$6.5491 hourly,$4.8814 hourly,$16.4467 hourly,$14.779 hourly,$40.9267 hourly,$39.259 hourly,>20%,$1.2317 hourly,current,,,No,10.50x,,,,,,
C6A 32xlarge,c6a.32xlarge,c6a,"2,731,929.425",Compute optimized,229.0 fps,256 GiB,2933 MT/s,Yes,4,32,16,32,63096 MB,64.0 MB,Yes,0 units,128 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,3.6 GHz,,,,,EBS only,,,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.896 hourly,$3.2387 hourly,$1.1238 hourly,$1.6835 hourly,$7.4688 hourly,$5.8115 hourly,$2.3526 hourly,$3.152 hourly,$5.021 hourly,$3.2987 hourly,$1.2488 hourly,$2.0482 hourly,$10.784 hourly,$3.2387 hourly,$6.7816 hourly,$6.7838 hourly,$8.078 hourly,$5.344 hourly,$12.9472 hourly,$11.2899 hourly,$26.144 hourly,$24.4867 hourly,$58.784 hourly,$57.1267 hourly,$7.0592 hourly,$5.4019 hourly,$20.256 hourly,$18.5987 hourly,$52.896 hourly,$51.2387 hourly,>20%,$1.224 hourly,current,,,No,7.62x,,,,,,
R7A 16xlarge Extra Large,r7a.16xlarge,r7a,"1,992,631.415",Memory optimized,309.0 fps,512 GiB,4800 MT/s,No,,,,,,,,0 units,64 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,25 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.8688 hourly,$3.2207 hourly,$1.6478 hourly,$2.062 hourly,$6.456 hourly,$4.8079 hourly,$2.339 hourly,$3.1033 hourly,$4.9938 hourly,$3.2806 hourly,$1.7728 hourly,$2.5371 hourly,$7.8128 hourly,$6.1647 hourly,$3.8327 hourly,$3.8367 hourly,$16.067 hourly,$10.628 hourly,$8.8944 hourly,$7.2463 hourly,$15.4928 hourly,$13.8447 hourly,$31.8128 hourly,$30.1647 hourly,$5.9504 hourly,$4.3023 hourly,$12.5488 hourly,$10.9007 hourly,$28.8688 hourly,$27.2207 hourly,10-15%,$1.2172 hourly,current,,,No,10.30x,,,,,,
C6ID 24xlarge,c6id.24xlarge,c6id,,Compute optimized,,192 GiB,,,,,,,,,,0 units,96 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,5700 GB (4×1425 GB NVMe SSD),Yes,Yes,x86_64,37.5 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.8384 hourly,$3.0492 hourly,$1.8016 hourly,$1.8705 hourly,$7.2192 hourly,$5.43 hourly,$2.8384 hourly,$2.9782 hourly,$4.9634 hourly,$3.1092 hourly,$1.9266 hourly,$2.0664 hourly,$9.2544 hourly,$7.4652 hourly,$5.2955 hourly,$5.2992 hourly,$5.984 hourly,$3.958 hourly,$10.8768 hourly,$9.0876 hourly,$20.7744 hourly,$18.9852 hourly,$45.2544 hourly,$43.4652 hourly,$6.4608 hourly,$4.6716 hourly,$16.3584 hourly,$14.5692 hourly,$40.8384 hourly,$39.0492 hourly,15-20%,$1.2096 hourly,current,,,,,,,,,,
M7I 24xlarge,m7i.24xlarge,m7i,"2,034,760.492",General purpose,257.0 fps,384 GiB,5600 MT/s,No,,,,,,,,0 units,96 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,37.5 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.8384 hourly,$3.2006 hourly,$1.7336 hourly,$1.8033 hourly,$7.2192 hourly,$5.5814 hourly,$2.7704 hourly,$2.9525 hourly,$4.9634 hourly,$3.2605 hourly,$1.8586 hourly,$2.0407 hourly,$9.2544 hourly,$7.6166 hourly,$5.301 hourly,$5.3032 hourly,$10.644 hourly,$7.041 hourly,$10.8768 hourly,$9.239 hourly,$20.7744 hourly,$19.1366 hourly,$45.2544 hourly,$43.6166 hourly,$6.4608 hourly,$4.823 hourly,$16.3584 hourly,$14.7206 hourly,$40.8384 hourly,$39.2006 hourly,15-20%,$1.2096 hourly,current,,,No,8.55x,,,,,,
M7I Metal-24xl,m7i.metal-24xl,m7i,"2,055,234.425",General purpose,279.0 fps,384 GiB,5600 MT/s,No,,,,,,,,0 units,96 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,37.5 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$4.8384 hourly,$3.2006 hourly,$1.3189 hourly,$1.6463 hourly,$7.2192 hourly,$5.5814 hourly,$2.3557 hourly,$2.9095 hourly,$4.9634 hourly,$3.2605 hourly,$1.4439 hourly,$1.9977 hourly,$9.2544 hourly,$7.6166 hourly,$5.297 hourly,$5.3015 hourly,$10.644 hourly,$7.041 hourly,$10.8768 hourly,$9.239 hourly,$20.7744 hourly,$19.1366 hourly,$45.2544 hourly,$43.6166 hourly,$6.4608 hourly,$4.823 hourly,$16.3584 hourly,$14.7206 hourly,$40.8384 hourly,$39.2006 hourly,15-20%,,current,,,No,9.28x,,,,,,
R6ID 16xlarge Extra Large,r6id.16xlarge,r6id,,Memory optimized,,512 GiB,,,,,,,,,,0 units,64 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,3800 GB (2×1900 GB NVMe SSD),Yes,Yes,x86_64,25 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.8384 hourly,$3.0408 hourly,$1.6627 hourly,$1.7612 hourly,$6.4256 hourly,$4.628 hourly,$2.3539 hourly,$2.5853 hourly,$4.9634 hourly,$3.1007 hourly,$1.7877 hourly,$2.0191 hourly,$7.7824 hourly,$3.0408 hourly,$3.8257 hourly,$3.8297 hourly,$8.87 hourly,$5.868 hourly,$8.864 hourly,$7.0664 hourly,$15.4624 hourly,$13.6648 hourly,$31.7824 hourly,$29.9848 hourly,$5.92 hourly,$4.1224 hourly,$12.5184 hourly,$10.7208 hourly,$28.8384 hourly,$27.0408 hourly,>20%,$1.2096 hourly,current,,,,,,,,,,
R5B 16xlarge Extra Large,r5b.16xlarge,r5b,,Memory optimized,,512 GiB,,,,,,,,,,0 units,64 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,20 Gigabit,40000 Mbps,5000 MB/s,173333 IOPS,40000 Mbps,5000 MB/s,173333 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.768 hourly,$3.0038 hourly,$2.0123 hourly,$2.3284 hourly,$6.3552 hourly,$4.591 hourly,$2.7035 hourly,$3.4931 hourly,$4.893 hourly,$3.0638 hourly,$2.1373 hourly,$2.9269 hourly,$7.712 hourly,$5.9478 hourly,$3.8113 hourly,$3.8145 hourly,$6.653 hourly,$4.191 hourly,$8.7936 hourly,$7.0294 hourly,$15.392 hourly,$13.6278 hourly,$31.712 hourly,$29.9478 hourly,$5.8496 hourly,$4.0854 hourly,$12.448 hourly,$10.6838 hourly,$28.768 hourly,$27.0038 hourly,<5%,$0.27 hourly,current,,,,,,,,,,
R5N 16xlarge Extra Large,r5n.16xlarge,r5n,"911,940.724",Memory optimized,160.0 fps,512 GiB,3200 MT/s,Yes,2,21,16,32,255257 MB,35.0 MB,Yes,0 units,64 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,75 Gigabit,13600 Mbps,1700 MB/s,60000 IOPS,13600 Mbps,1700 MB/s,60000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.768 hourly,$3.004 hourly,$1.9656 hourly,$2.0115 hourly,$6.355 hourly,$3.695 hourly,$2.6566 hourly,$2.7889 hourly,$4.893 hourly,$3.064 hourly,$2.0906 hourly,$2.2229 hourly,$7.712 hourly,$5.948 hourly,$3.8182 hourly,$3.8184 hourly,$6.653 hourly,$4.191 hourly,$8.794 hourly,$7.029 hourly,$15.392 hourly,$13.628 hourly,$31.712 hourly,$29.948 hourly,$5.85 hourly,$4.085 hourly,$12.448 hourly,$10.684 hourly,$28.768 hourly,$27.004 hourly,5-10%,$0.27 hourly,current,,,No,5.32x,,,,,,
INF1 24xlarge,inf1.24xlarge,inf1,"1,539,880.499",Machine Learning ASIC Instances,194.0 fps,192 GiB,2933 MT/s,Yes,2,21,24,48,94647 MB,35.0 MB,Yes,0 units,96 vCPUs,2.00 GiB/vCPU,16,AWS Inferentia,128 GiB,0,0,0.0000 units,Intel Xeon Platinum 8275CL (Cascade Lake),,,,,,EBS only,,,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,330,11,Yes,Yes,Yes,Yes,Unknown,No,,$4.721 hourly,$2.974 hourly,$0.9981 hourly,$1.3069 hourly,$7.102 hourly,$4.011 hourly,$2.0351 hourly,$2.6173 hourly,$4.846 hourly,$3.034 hourly,$1.1231 hourly,$1.7053 hourly,,,,,$5.193 hourly,$3.272 hourly,,,,,,,$6.344 hourly,$4.597 hourly,$16.241 hourly,$14.494 hourly,$40.721 hourly,$38.974 hourly,>20%,,current,,,No,6.47x,,,,,,
C8GD 24xlarge,c8gd.24xlarge,c8gd,,Compute optimized,,192 GiB,,,,,,,,,,0 units,96 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,,,,,5700 GB (3×1900 GB NVMe SSD),Yes,Yes,arm64,40 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$4.703 hourly,,$1.07 hourly,$1.4457 hourly,$7.0838 hourly,,$2.1068 hourly,$2.6743 hourly,$4.828 hourly,,$1.195 hourly,$1.7625 hourly,,,,,$8.423 hourly,$5.55 hourly,,,,,,,,,,,,,<5%,,current,,,,,,,,,,
C8GD Metal-24xl,c8gd.metal-24xl,c8gd,,Compute optimized,,192 GiB,,,,,,,,,,0 units,96 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,,,,,5700 GB (3×1900 GB NVMe SSD),Yes,Yes,arm64,40 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$4.703 hourly,,$1.0376 hourly,$1.1775 hourly,$7.0838 hourly,,$2.0744 hourly,$2.3587 hourly,$4.828 hourly,,$1.1626 hourly,$1.4469 hourly,,,,,$8.423 hourly,$5.55 hourly,,,,,,,,,,,,,5-10%,,current,,,,,,,,,,
R8GD 16xlarge Extra Large,r8gd.16xlarge,r8gd,,Memory optimized,,512 GiB,,,,,,,,,,0 units,64 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,,,,,3800 GB (2×1900 GB NVMe SSD),Yes,Yes,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$4.7027 hourly,,$1.1542 hourly,$1.2911 hourly,$6.2899 hourly,,$1.8454 hourly,$2.087 hourly,$4.8277 hourly,,$1.2792 hourly,$1.5208 hourly,,,,,$15.519 hourly,$8.23 hourly,,,,,,,,,,,,,<5%,,current,,,,,,,,,,
X8G 12xlarge Extra Large,x8g.12xlarge,x8g,"1,502,464.982",Memory optimized,291.0 fps,768 GiB,,No,,,,,,,,0 units,48 vCPUs,16.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,,,,,EBS only,,,arm64,22.5 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,No,,$4.6896 hourly,$2.8899 hourly,$1.9599 hourly,$2.1271 hourly,$5.88 hourly,$3.4083 hourly,$2.4783 hourly,$2.9084 hourly,$4.8146 hourly,$2.9498 hourly,$2.0849 hourly,$2.515 hourly,,,,,$20.634 hourly,$12.716 hourly,,,,,,,,,,,,,10-15%,,current,,,No,9.70x,,,,,,
R6IDN 12xlarge Extra Large,r6idn.12xlarge,r6idn,,Memory optimized,,384 GiB,,,,,,,,,,0 units,48 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,2850 GB (2×1425 GB NVMe SSD),Yes,Yes,x86_64,75 Gigabit,37500 Mbps,4687.5 MB/s,150000 IOPS,37500 Mbps,4687.5 MB/s,150000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.6894 hourly,$2.9543 hourly,$1.7317 hourly,$1.8906 hourly,$5.8798 hourly,$3.4727 hourly,$2.2501 hourly,$2.6374 hourly,$4.8144 hourly,$3.0142 hourly,$1.8567 hourly,$2.244 hourly,$6.8974 hourly,$5.1623 hourly,$3.0684 hourly,$3.0702 hourly,$13.755 hourly,$5.868 hourly,$7.7086 hourly,$5.9735 hourly,$12.6574 hourly,$10.9223 hourly,$24.8974 hourly,$23.1623 hourly,$5.5006 hourly,$3.7655 hourly,$10.4494 hourly,$8.7143 hourly,$22.6894 hourly,$20.9543 hourly,15-20%,$1.1723 hourly,current,,,,,,,,,,
M8GB 16xlarge Extra Large,m8gb.16xlarge,m8gb,"1,863,580.112",General purpose,296.0 fps,256 GiB,,No,,,,,,,,0 units,64 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.8 GHz,,,,,EBS only,,,arm64,133.33 Gigabit,100000 Mbps,12500 MB/s,480000 IOPS,100000 Mbps,12500 MB/s,480000 IOPS,Yes,800,16,Yes,Yes,Yes,Yes,Unknown,No,,$4.656 hourly,,$1.9282 hourly,$1.9638 hourly,$6.2432 hourly,,$2.6194 hourly,$2.6831 hourly,$4.781 hourly,,$2.0532 hourly,$2.1169 hourly,,,,,$15.365 hourly,$6.27 hourly,,,,,,,,,,,,,>20%,,current,,,No,9.85x,,,,,,
M8GN 16xlarge Extra Large,m8gn.16xlarge,m8gn,"1,925,825.623",Compute optimized,295.0 fps,256 GiB,,No,,,,,,,,0 units,64 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.8 GHz,,,,,EBS only,,,arm64,200 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,40000 Mbps,5000 MB/s,160000 IOPS,Yes,800,16,Yes,Yes,Yes,Yes,Unknown,No,,$4.656 hourly,,$1.9115 hourly,$1.9466 hourly,$6.2432 hourly,,$2.6027 hourly,$2.6684 hourly,$4.781 hourly,,$2.0365 hourly,$2.1022 hourly,,,,,$9.479 hourly,$6.27 hourly,,,,,,,,,,,,,<5%,,current,,,No,9.83x,,,,,,
IS4GEN Eight Extra Large,is4gen.8xlarge,is4gen,"633,454.306",Storage optimized,149.0 fps,192 GiB,,No,,,,,,,,0 units,32 vCPUs,6.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,30000 GB (4×7500 GB NVMe SSD),Yes,Yes,arm64,50 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.6104 hourly,$3.1445 hourly,$1.1139 hourly,$2.0548 hourly,$5.404 hourly,$3.4901 hourly,$1.4595 hourly,$3.7097 hourly,$4.7354 hourly,$3.2045 hourly,$1.2389 hourly,$3.4891 hourly,,,,,,,,,,,,,,,,,,,>20%,$1.1526 hourly,current,,,No,4.96x,,,,,,
C5 High-CPU 24xlarge,c5d.24xlarge,c5d,"1,546,080.444",Compute optimized,196.0 fps,192 GiB,2933 MT/s,Yes,2,21,24,48,94647 MB,35.0 MB,Yes,375 units,96 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,3.9063 units,Intel Xeon Platinum 8275L,3.4 GHz,Yes,Yes,Yes,Yes,3600 GB (4×900 GB NVMe SSD),Yes,Yes,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.608 hourly,$2.903 hourly,$1.4357 hourly,$1.6244 hourly,$6.989 hourly,$3.94 hourly,$2.4727 hourly,$2.8438 hourly,$4.708 hourly,$2.936 hourly,$1.5357 hourly,$1.9068 hourly,$9.024 hourly,$7.319 hourly,$5.2584 hourly,$5.2598 hourly,$3.802 hourly,$2.121 hourly,$10.646 hourly,$8.941 hourly,$20.544 hourly,$18.839 hourly,$45.024 hourly,$43.319 hourly,$6.23 hourly,$4.525 hourly,$16.128 hourly,$14.423 hourly,$40.608 hourly,$38.903 hourly,15-20%,$0.27 hourly,current,,,No,6.53x,,,,,,
C5 High-CPU Metal,c5d.metal,c5d,"1,749,430.524",Compute optimized,198.0 fps,192 GiB,2933 MT/s,Yes,2,21,24,48,96516 MB,35.0 MB,Yes,375 units,96 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,3.9063 units,Intel Xeon Platinum 8275L,3.4 GHz,Yes,Yes,Yes,Yes,3600 GB (4×900 GB NVMe SSD),Yes,Yes,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$4.608 hourly,$2.903 hourly,$1.5406 hourly,$1.6078 hourly,$6.989 hourly,$3.94 hourly,$2.5776 hourly,$2.8285 hourly,$4.708 hourly,$2.936 hourly,$1.6406 hourly,$1.8915 hourly,$9.024 hourly,$7.319 hourly,$5.2587 hourly,$5.2605 hourly,$3.802 hourly,$2.121 hourly,$10.646 hourly,$8.941 hourly,$20.544 hourly,$18.839 hourly,$45.024 hourly,$43.319 hourly,$6.23 hourly,$4.525 hourly,$16.128 hourly,$14.423 hourly,$40.608 hourly,$38.903 hourly,>20%,,current,,,No,6.60x,,,,,,
M5 General Purpose 24xlarge,m5.24xlarge,m5,"1,374,718.075",General purpose,172.0 fps,384 GiB,3200 MT/s,Yes,2,21,24,48,191415 MB,35.0 MB,Yes,337 units,96 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,3.5104 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$4.608 hourly,$2.903 hourly,$1.6961 hourly,$1.8842 hourly,$6.989 hourly,$5.284 hourly,$2.7331 hourly,$3.1956 hourly,$4.708 hourly,$2.936 hourly,$1.7961 hourly,$2.2586 hourly,$9.024 hourly,$7.319 hourly,$5.2602 hourly,$5.261 hourly,$5.069 hourly,$3.193 hourly,$10.646 hourly,$8.941 hourly,$20.544 hourly,$18.839 hourly,$45.024 hourly,$43.319 hourly,$6.23 hourly,$4.525 hourly,$16.128 hourly,$14.423 hourly,$40.608 hourly,$38.903 hourly,>20%,$0.27 hourly,current,,,No,5.71x,,,,,,
